T/K,Pexp/kPa,x,¦Ñ/molar dm-3),Z
283.37 ,190.7 ,0.33,0.0881 ,0.918277504
288.36 ,194.9 ,0.33,0.0881 ,0.922378427
293.35 ,199.1 ,0.33,0.0881 ,0.926344798
298.35 ,203.2 ,0.33,0.0881 ,0.929694903
303.34 ,207.3 ,0.33,0.0881 ,0.932969786
308.33 ,211.2 ,0.33,0.0881 ,0.93525762
313.33 ,215.6 ,0.33,0.0881 ,0.939626312
318.31 ,219.8 ,0.33,0.0881 ,0.943063284
323.31 ,224.0 ,0.33,0.0881 ,0.946340804
328.30 ,228.2 ,0.33,0.0880 ,0.94955162
333.28 ,232.1 ,0.33,0.0880 ,0.951469187
338.28 ,235.9 ,0.33,0.0880 ,0.952874472
343.27 ,239.8 ,0.33,0.0880 ,0.954668333
348.28 ,243.6 ,0.33,0.0880 ,0.955967803
353.28 ,247.4 ,0.33,0.0880 ,0.957261015
283.37 ,320.9 ,0.4364,0.1519 ,0.89673901
288.36 ,328.8 ,0.4364,0.1519 ,0.903030045
293.35 ,336.4 ,0.4364,0.1518 ,0.908302455
298.35 ,343.5 ,0.4364,0.1518 ,0.912045661
303.34 ,350.3 ,0.4364,0.1518 ,0.914916602
308.33 ,356.2 ,0.4364,0.1518 ,0.915386177
313.33 ,363.8 ,0.4364,0.1518 ,0.920115192
318.31 ,371.0 ,0.4364,0.1518 ,0.923762126
323.31 ,377.9 ,0.4364,0.1517 ,0.926508767
328.30 ,384.8 ,0.4364,0.1517 ,0.929204054
333.28 ,391.4 ,0.4364,0.1517 ,0.931136825
338.28 ,398.1 ,0.4364,0.1517 ,0.93319633
343.27 ,404.6 ,0.4364,0.1517 ,0.934764714
348.28 ,411.3 ,0.4364,0.1516 ,0.9366941
353.28 ,417.9 ,0.4364,0.1516 ,0.93837438
288.36 ,586.5 ,0.7208,0.2913 ,0.839882702
293.35 ,606.8 ,0.7208,0.2912 ,0.854280124
298.35 ,621.9 ,0.7208,0.2912 ,0.860975168
303.34 ,635.3 ,0.7208,0.2912 ,0.865168016
308.33 ,649.2 ,0.7208,0.2911 ,0.869899688
313.33 ,662.6 ,0.7208,0.2911 ,0.873798244
318.31 ,676.3 ,0.7208,0.2910 ,0.878022933
323.31 ,689.6 ,0.7208,0.2910 ,0.881556442
328.30 ,702.1 ,0.7208,0.2910 ,0.884006045
333.28 ,715.3 ,0.7208,0.2909 ,0.887280906
338.28 ,728.2 ,0.7208,0.2909 ,0.890044557
343.27 ,740.9 ,0.7208,0.2909 ,0.892516504
348.28 ,753.8 ,0.7208,0.2908 ,0.895107998
353.28 ,766.6 ,0.7208,0.2908 ,0.897537938
288.36 ,625.8 ,0.7796,0.3112 ,0.838822239
293.35 ,650.3 ,0.7796,0.3111 ,0.856943602
298.35 ,667.4 ,0.7796,0.3111 ,0.864848484
303.34 ,682.6 ,0.7796,0.3111 ,0.870104953
308.33 ,695.9 ,0.7796,0.3110 ,0.872813103
313.33 ,711.2 ,0.7796,0.3110 ,0.877880173
318.31 ,725.9 ,0.7796,0.3109 ,0.882118692
323.31 ,740.4 ,0.7796,0.3109 ,0.885937403
328.30 ,755.0 ,0.7796,0.3109 ,0.889788872
333.28 ,769.2 ,0.7796,0.3108 ,0.893091473
338.28 ,783.5 ,0.7796,0.3108 ,0.896362814
343.27 ,797.5 ,0.7796,0.3107 ,0.899230667
348.28 ,811.3 ,0.7796,0.3107 ,0.901746649
353.28 ,824.8 ,0.7796,0.3107 ,0.903891722
283.37 ,443.4 ,0.7796,0.2135 ,0.881400337
288.36 ,454.3 ,0.7796,0.2135 ,0.88755302
293.35 ,464.5 ,0.7796,0.2135 ,0.892157225
298.35 ,474.6 ,0.7796,0.2134 ,0.89639361
303.34 ,484.1 ,0.7796,0.2134 ,0.899409833
308.33 ,492.7 ,0.7796,0.2134 ,0.900687582
313.33 ,503.1 ,0.7796,0.2134 ,0.905138425
318.31 ,512.6 ,0.7796,0.2133 ,0.907916737
323.31 ,522.5 ,0.7796,0.2133 ,0.911255398
328.30 ,532.5 ,0.7796,0.2133 ,0.914696089
333.28 ,541.4 ,0.7796,0.2132 ,0.916203846
338.28 ,551.0 ,0.7796,0.2132 ,0.918784418
343.27 ,560.4 ,0.7796,0.2132 ,0.920991742
348.28 ,569.5 ,0.7796,0.2132 ,0.922601128
353.28 ,578.4 ,0.7796,0.2131 ,0.923875038
298.34 ,835.2 ,0.8172,0.4324 ,0.778710628
303.33 ,872.1 ,0.8172,0.4323 ,0.799840139
308.32 ,896.3 ,0.8172,0.4323 ,0.808833512
313.33 ,918.9 ,0.8172,0.4322 ,0.816073149
318.31 ,938.2 ,0.8172,0.4322 ,0.82028166
323.31 ,952.1 ,0.8172,0.4321 ,0.819665275
328.30 ,978.6 ,0.8172,0.4321 ,0.829779257
333.28 ,997.8 ,0.8172,0.4320 ,0.833522853
338.27 ,1018.2 ,0.8172,0.4319 ,0.838123457
343.27 ,1041.0 ,0.8172,0.4319 ,0.844517186
348.28 ,1057.4 ,0.8172,0.4318 ,0.845589753
353.28 ,1078.1 ,0.8172,0.4318 ,0.850049365
288.36 ,591.9 ,0.8172,0.2995 ,0.824425208
293.35 ,613.1 ,0.8172,0.2994 ,0.839534114
298.35 ,629.4 ,0.8172,0.2994 ,0.847518349
303.34 ,644.3 ,0.8172,0.2993 ,0.853418462
308.33 ,658.8 ,0.8172,0.2993 ,0.858611214
