T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Bm,Cm
313.15,0.6497,649.7,56.592,6.32538390937374e-05,1.36491972470951e+17,2.10084612083964e+19,-99.9998882283024,28262.2912137325,289239699.92394
318.15,0.6652,665.2,56.582,6.24909532577446e-05,1.53338872455538e+17,2.30515442657152e+19,-99.9998895568321,28395.8376578942,320002859.690761
323.15,0.6797,679.7,56.572,6.27568398928986e-05,1.68257300689487e+17,2.47546418551548e+19,-99.9998890673126,26592.0105677429,345886534.041537
303.15,0.4978,497.8,43.8,7.32395917558783e-05,2.39640904557438e+16,4.8139996897838e+18,-99.9998327863202,14878.4516097605,113148507.064501
308.15,0.51,510,43.792,6.99920134898769e-05,2.85201653795457e+16,5.59218929010701e+18,-99.9998401716901,17068.4656856193,132548047.862042
313.15,0.521,521,43.784,6.8208039454605e-05,3.25741965138842e+16,6.25224501226185e+18,-99.9998442169755,18183.6769556055,149053736.095511
318.15,0.5317,531.7,43.776,6.76018174182356e-05,3.62395754235643e+16,6.81579376030925e+18,-99.9998455733337,18150.7179886422,163309304.529585
323.15,0.5423,542.3,43.768,6.80564892943337e-05,3.95481994856295e+16,7.29267923393499e+18,-99.9998445062847,16936.2786231767,175557981.572683
293.15,0.3716,371.6,33.144,8.85975675683353e-05,2.94136665556874e+15,7.91541080615914e+17,-99.9997326889707,5199.26162576105,33144504.8673465
298.15,0.3805,380.5,33.139,8.13246791904491e-05,3.98240839781566e+15,1.04662507169925e+18,-99.9997545952528,7322.05944690008,44142781.5997158
303.15,0.3889,388.9,33.133,7.66371370002881e-05,4.94136842364039e+15,1.27060129175634e+18,-99.9997686984668,9091.54783635259,53898199.3469733
308.15,0.3969,396.9,33.127,7.37076884111741e-05,5.81329657252246e+15,1.46467537730473e+18,-99.9997774996577,10346.7958145337,62413839.0654805
313.15,0.4049,404.9,33.121,7.21219268840398e-05,6.61225135786724e+15,1.63305788043152e+18,-99.9997822471336,10990.6926317139,69896212.0578795
318.15,0.4126,412.6,33.115,7.16860986656604e-05,7.32362024865127e+15,1.77499278929987e+18,-99.9997835237848,10937.5377844471,76240689.504195
323.15,0.4204,420.4,33.109,7.23118654834511e-05,7.96824864644007e+15,1.89539691875358e+18,-99.9997815945348,10185.4668227256,81712401.8911599
283.15,0.275,275,25.008,0.000107050691821266,136139991270364,4.95054513710415e+16,-99.9995719342138,455.918716518856,3697423.64830683
288.15,0.2816,281.6,25.003,9.37567238986921e-05,368872242518336,1.30991563394295e+17,-99.9996250181022,1782.01444404135,9850242.73413257
293.15,0.2878,287.8,24.999,8.55430097859516e-05,585608818063101,2.0347769911852e+17,-99.9996578142734,3130.63396783242,15378548.5721552
298.15,0.2941,294.1,24.994,8.00743733304425e-05,787935208418728,2.6791404570511e+17,-99.9996796256168,4384.53831760915,20356998.291679
303.15,0.3003,300.3,24.99,7.63994933861366e-05,974867645330830,3.24631250526417e+17,-99.9996942797383,5429.51162432173,24783040.940748
308.15,0.306,306,24.985,7.4058990016668e-05,1.14147615986135e+15,3.73031424791291e+17,-99.9997035861916,6157.49877310573,28564850.2012367
313.15,0.3117,311.7,24.981,7.28306846004251e-05,1.292629304259e+15,4.14703017086621e+17,-99.9997084556879,6519.78571567839,31846202.3031288
318.15,0.3174,317.4,24.976,7.25915736571311e-05,1.42857461195651e+15,4.50086519204951e+17,-99.9997093546859,6478.49528756665,34663162.1597481
323.15,0.3231,323.1,24.972,7.3302998737048e-05,1.55013620026735e+15,4.79769792716604e+17,-99.9997064592394,6022.13205587197,37048615.0832995
278.15,0.208,208,18.88,9.48946127296889e-05,-21943268022672.9,-1.05496480878236e+16,-99.9994973802292,-416.407822639929,-1409868.36648215
283.15,0.2128,212.8,18.876,8.70968589773246e-05,27124650076521.5,1.27465460885908e+16,-99.9995385841334,285.012927159391,1713100.84552989
288.15,0.2175,217.5,18.873,8.12612287588076e-05,72995903810213.7,3.35613350851556e+16,-99.9995694313106,1073.81495742201,4532321.19926828
293.15,0.222,222,18.87,7.68340397422014e-05,115407019433529,5.1985143888977e+16,-99.9995928243787,1872.0439194305,7046761.89463563
298.15,0.2264,226.4,18.866,7.35450886413759e-05,154320000638881,6.81625444518024e+16,-99.9996101712677,2606.17623576369,9270657.28906914
303.15,0.2306,230.6,18.863,7.11888148721944e-05,189511067849714,8.21817293363891e+16,-99.99962260078,3208.28401661586,11202300.1234452
308.15,0.2346,234.6,18.86,6.96438154129217e-05,220860649765976,9.41434994739877e+16,-99.9996307326861,3624.92071128937,12849720.9929589
313.15,0.239,239,18.856,6.88919724890682e-05,250169557989327,1.0467345522566e+17,-99.9996346416393,3838.11397826042,14331652.0010279
318.15,0.2432,243.2,18.853,6.88252975467837e-05,275942043397996,1.13463011265623e+17,-99.9996349371583,3808.10914548886,15567110.0768722
323.15,0.2474,247.4,18.849,6.94590215809175e-05,298780552150006,1.20768210246566e+17,-99.9996314975777,3535.29745031434,16605325.8478548
353.15,1.5481,1548.1,135.26,5.65854786363505e-05,2.59763859773252e+19,1.67795271476812e+21,-99.999958165401,-55303.4513726134,3575036698.52274
358.15,1.5863,1586.3,135.235,5.98054584378879e-05,2.70547023033351e+19,1.70552242976329e+21,-99.9999557766418,-87477.248960448,3673496667.07343
363.15,1.6239,1623.9,135.209,6.2733006217108e-05,2.79501947413613e+19,1.7211770885745e+21,-99.999953602936,-114212.589425567,3744994386.0092
368.15,1.661,1661,135.183,6.47923573752168e-05,2.86594819427264e+19,1.72543539691309e+21,-99.9999520706321,-131740.414207267,3790063513.22905
373.15,1.6977,1697.7,135.157,6.53236002212003e-05,2.91800180274203e+19,1.71879708001533e+21,-99.9999516683559,-135916.674155139,3809392127.81745
378.15,1.7342,1734.2,135.132,6.37203104669631e-05,2.95160280342788e+19,1.70199677282198e+21,-99.9999528458763,-122265.884919189,3804419376.00413
383.15,1.7705,1770.5,135.106,5.9671914644933e-05,2.96600305737274e+19,1.6752347118739e+21,-99.9999558332608,-85952.6614769123,3775269978.72657
388.15,1.8065,1806.5,135.08,5.34644031119516e-05,2.96021258489132e+19,1.6386452172108e+21,-99.9999604201931,-21842.9206887343,3721510587.14273
393.15,1.8424,1842.4,135.053,4.61041959587233e-05,2.93465060489923e+19,1.59284118806949e+21,-99.999965862146,75440.4327753239,3644638293.21658
338.15,1.1737,1173.7,102.084,5.44051923659147e-05,5.16441793324983e+18,4.400117520022e+20,-99.9999467054657,28717.8717754734,1726664528.27356
343.15,1.202,1202,102.065,5.71702237382036e-05,5.47104517144524e+18,4.55161827907258e+20,-99.9999439864559,8298.87850009464,1803536116.8019
348.15,1.2297,1229.7,102.046,6.06150070537048e-05,5.73814738924314e+18,4.66629860066938e+20,-99.9999406003106,-13950.2880630443,1865462226.93814
353.15,1.257,1257,102.027,6.45866857034339e-05,5.96659218095096e+18,4.74669226805963e+20,-99.9999366964767,-36432.603549104,1913334754.58411
